
Pinging google.com [2404:6800:4002:811::200e] with 32 bytes of data:
Request timed out.
Reply from 2404:6800:4002:811::200e: time=137ms 
Request timed out.
Reply from 2404:6800:4002:811::200e: time=506ms 
Reply from 2404:6800:4002:811::200e: time=86ms 
Reply from 2404:6800:4002:811::200e: time=170ms 
Reply from 2404:6800:4002:811::200e: time=275ms 
Reply from 2404:6800:4002:811::200e: time=326ms 
Reply from 2404:6800:4002:811::200e: time=81ms 
Request timed out.
Reply from 2404:6800:4002:811::200e: time=207ms 
Reply from 2404:6800:4002:811::200e: time=499ms 
Reply from 2404:6800:4002:811::200e: time=136ms 
Reply from 2404:6800:4002:811::200e: time=154ms 
Reply from 2404:6800:4002:811::200e: time=88ms 
Reply from 2404:6800:4002:811::200e: time=114ms 
Reply from 2404:6800:4002:811::200e: time=673ms 
Reply from 2404:6800:4002:811::200e: time=328ms 
Reply from 2404:6800:4002:811::200e: time=75ms 
Reply from 2404:6800:4002:811::200e: time=91ms 
Reply from 2404:6800:4002:811::200e: time=185ms 
Request timed out.
Request timed out.
Reply from 2404:6800:4002:811::200e: time=142ms 
Reply from 2404:6800:4002:811::200e: time=95ms 
Reply from 2404:6800:4002:811::200e: time=133ms 
Reply from 2404:6800:4002:811::200e: time=83ms 
Reply from 2404:6800:4002:811::200e: time=92ms 
Reply from 2404:6800:4002:811::200e: time=706ms 
Request timed out.
Reply from 2404:6800:4002:811::200e: time=2024ms 
Reply from 2404:6800:4002:811::200e: time=117ms 
Reply from 2404:6800:4002:811::200e: time=204ms 
Reply from 2404:6800:4002:811::200e: time=310ms 
Reply from 2404:6800:4002:811::200e: time=93ms 
Reply from 2404:6800:4002:811::200e: time=93ms 
Reply from 2404:6800:4002:811::200e: time=148ms 
Reply from 2404:6800:4002:811::200e: time=258ms 
Reply from 2404:6800:4002:811::200e: time=101ms 
Reply from 2404:6800:4002:811::200e: time=1116ms 
Reply from 2404:6800:4002:811::200e: time=202ms 
Request timed out.
Reply from 2404:6800:4002:811::200e: time=92ms 
Reply from 2404:6800:4002:811::200e: time=101ms 
Request timed out.
Reply from 2404:6800:4002:811::200e: time=374ms 
Reply from 2404:6800:4002:811::200e: time=118ms 
Reply from 2404:6800:4002:811::200e: time=83ms 
Reply from 2404:6800:4002:811::200e: time=210ms 
Reply from 2404:6800:4002:811::200e: time=321ms 
Reply from 2404:6800:4002:811::200e: time=632ms 
Reply from 2404:6800:4002:811::200e: time=112ms 
Reply from 2404:6800:4002:811::200e: time=88ms 
Request timed out.
Reply from 2404:6800:4002:811::200e: time=118ms 
Reply from 2404:6800:4002:811::200e: time=314ms 
Reply from 2404:6800:4002:811::200e: time=92ms 
Reply from 2404:6800:4002:811::200e: time=193ms 
Reply from 2404:6800:4002:811::200e: time=287ms 
Reply from 2404:6800:4002:811::200e: time=76ms 
Reply from 2404:6800:4002:811::200e: time=314ms 
Reply from 2404:6800:4002:811::200e: time=366ms 
Reply from 2404:6800:4002:811::200e: time=85ms 
Reply from 2404:6800:4002:811::200e: time=133ms 
Reply from 2404:6800:4002:811::200e: time=430ms 
Reply from 2404:6800:4002:811::200e: time=303ms 
Reply from 2404:6800:4002:811::200e: time=190ms 
Reply from 2404:6800:4002:811::200e: time=113ms 
Reply from 2404:6800:4002:811::200e: time=867ms 
Reply from 2404:6800:4002:811::200e: time=249ms 
Reply from 2404:6800:4002:811::200e: time=128ms 
Reply from 2404:6800:4002:811::200e: time=108ms 
Reply from 2404:6800:4002:811::200e: time=108ms 
Reply from 2404:6800:4002:811::200e: time=196ms 
Reply from 2404:6800:4002:811::200e: time=318ms 
Reply from 2404:6800:4002:811::200e: time=84ms 
Reply from 2404:6800:4002:811::200e: time=99ms 
Reply from 2404:6800:4002:811::200e: time=837ms 
Reply from 2404:6800:4002:811::200e: time=240ms 
Reply from 2404:6800:4002:811::200e: time=94ms 
Reply from 2404:6800:4002:811::200e: time=65ms 
Reply from 2404:6800:4002:811::200e: time=1038ms 
Reply from 2404:6800:4002:811::200e: time=226ms 
Reply from 2404:6800:4002:811::200e: time=83ms 
Reply from 2404:6800:4002:811::200e: time=83ms 
Reply from 2404:6800:4002:811::200e: time=82ms 
Reply from 2404:6800:4002:811::200e: time=198ms 
Reply from 2404:6800:4002:811::200e: time=90ms 
Reply from 2404:6800:4002:811::200e: time=267ms 
Reply from 2404:6800:4002:811::200e: time=142ms 
Reply from 2404:6800:4002:811::200e: time=501ms 
Reply from 2404:6800:4002:811::200e: time=89ms 
Reply from 2404:6800:4002:811::200e: time=96ms 
Request timed out.
Reply from 2404:6800:4002:811::200e: time=223ms 
Reply from 2404:6800:4002:811::200e: time=85ms 
Reply from 2404:6800:4002:811::200e: time=489ms 
Reply from 2404:6800:4002:811::200e: time=158ms 
Reply from 2404:6800:4002:811::200e: time=163ms 
Reply from 2404:6800:4002:811::200e: time=96ms 
Reply from 2404:6800:4002:811::200e: time=641ms 
Reply from 2404:6800:4002:811::200e: time=255ms 
Reply from 2404:6800:4002:811::200e: time=206ms 
Reply from 2404:6800:4002:811::200e: time=87ms 
Reply from 2404:6800:4002:811::200e: time=97ms 
Reply from 2404:6800:4002:811::200e: time=182ms 
Reply from 2404:6800:4002:811::200e: time=960ms 
Reply from 2404:6800:4002:811::200e: time=86ms 
Reply from 2404:6800:4002:811::200e: time=83ms 
Reply from 2404:6800:4002:811::200e: time=126ms 
Reply from 2404:6800:4002:811::200e: time=232ms 
Reply from 2404:6800:4002:811::200e: time=554ms 
Reply from 2404:6800:4002:811::200e: time=87ms 
Reply from 2404:6800:4002:811::200e: time=85ms 
Reply from 2404:6800:4002:811::200e: time=178ms 
Reply from 2404:6800:4002:811::200e: time=83ms 
Reply from 2404:6800:4002:811::200e: time=477ms 
Reply from 2404:6800:4002:811::200e: time=109ms 
Reply from 2404:6800:4002:811::200e: time=326ms 
Reply from 2404:6800:4002:811::200e: time=88ms 
Reply from 2404:6800:4002:811::200e: time=149ms 
Reply from 2404:6800:4002:811::200e: time=1040ms 
Reply from 2404:6800:4002:811::200e: time=170ms 
Reply from 2404:6800:4002:811::200e: time=116ms 
Reply from 2404:6800:4002:811::200e: time=76ms 
